question_id,query,answer_options,count_quantity,visual_detail_color,brand_logo_ocr_text,spatial_location,audio_speech,temporal_history,multi_user_copresence,external_source_candidate,raw_visual_needed,gaze_relevant,pose_fov_relevant,communication_sensitive,primary_evidence_route,likely_minimal_evidence_route
2026_q0001,At what rate was Cathal charging his car on the last day?,a: 2300w | b: 1700w | c: 800w | d: 1000w,1,0,0,0,0,1,0,0,1,1,0,0,self_raw_frame,self_raw_frame;self_history;auxiliary_modality
2026_q0002,At what temperature did Allie put the sausages in the oven?,a: 190c | b: 200c | c: 180c | d: 170c,1,0,0,0,0,0,0,0,1,1,0,0,self_raw_frame,self_raw_frame;auxiliary_modality
2026_q0003,"During the first day workshop opening presentations, where was the notebook computer placed?",a: On a folding ladder | b: On a high chair brought from the kitchen | c: On an ottoman chair | d: On a wooden chair brought from the dining table,0,0,1,1,0,1,0,0,1,1,1,0,self_highres_crop,self_highres_crop;self_history;self_raw_frame;self_short_clip;auxiliary_modality
2026_q0004,"During the Mamamoo Happy Quiz round, what colour is the quiz buzzer that team Cathal and Ononang used?",a: Yellow | b: Green | c: Blue | d: Red,0,1,0,0,0,1,1,1,1,1,0,1,self_raw_frame,self_raw_frame;self_history;self_short_clip;external_user_view;auxiliary_modality
2026_q0005,During what topic on the Happy Quiz did Florian's SD card fill up?,a: Movies | b: Electronics | c: Geography | d: Crypto,0,0,0,0,1,1,0,0,0,0,0,0,self_audio,self_audio;self_history;self_short_clip
2026_q0006,For what challenge was Cathal working on queries while Allie and Klaus were playing chess next to him?,a: Vbs | b: Trec | c: Clef | d: Ntcir,0,0,0,1,0,1,1,1,1,1,1,1,self_raw_frame,self_raw_frame;self_history;self_short_clip;external_user_view;auxiliary_modality
2026_q0007,"How did Florian get the answer for the quiz question ""Who is the father of AI?""",a: From his memory | b: Asking chatgpt | c: Googling | d: Asking siri,0,0,0,0,1,0,1,1,0,0,0,1,external_user_audio,external_user_audio;self_audio;external_user_view
2026_q0008,"How did the chess game, that Allie played after winning against Werner, end?",a: Klaus won | b: Luca won | c: Allie won | d: Draw/undecided,0,0,0,0,0,1,1,1,0,0,0,1,self_history,self_history;self_short_clip;external_user_view
2026_q0009,How fast did Cathal state he was going in an 80 km/h zone?,a: 85 | b: 67 | c: 73 | d: 63,1,0,0,0,1,0,0,0,1,1,0,0,self_audio,self_audio;self_raw_frame;auxiliary_modality
2026_q0010,How many carrots did Luca peel for Allie?,a: 5 | b: 9 | c: 3 | d: 7,1,1,0,0,0,0,1,1,1,1,0,1,self_raw_frame,self_raw_frame;self_highres_crop;external_user_view;auxiliary_modality
2026_q0011,How many cars are parked around the house?,a: 1 | b: 3 | c: 2 | d: 4,1,1,0,1,0,0,0,1,1,1,1,1,self_raw_frame,self_raw_frame;self_highres_crop;external_user_view;static_room_source;auxiliary_modality
2026_q0012,How many chessboards are there?,a: One | b: Four | c: Two | d: Three,1,1,0,0,0,0,0,0,1,1,0,0,self_raw_frame,self_raw_frame;self_highres_crop;auxiliary_modality
2026_q0013,How many colored pens were in the box?,a: 24 | b: 6 | c: 12 | d: 18,1,1,0,0,0,0,0,0,1,1,0,0,self_raw_frame,self_raw_frame;self_highres_crop;auxiliary_modality
2026_q0014,How many cookies were on the first tray to go into the oven?,a: 16 | b: 15 | c: 14 | d: 12,1,1,0,0,0,1,0,0,1,1,0,0,self_raw_frame,self_raw_frame;self_history;self_highres_crop;auxiliary_modality
2026_q0015,How many cups were on the kitchen island around the sink on Day 2 in the morning?,a: 4 | b: 6 | c: 5 | d: 7,1,1,0,1,0,1,0,0,1,1,1,0,self_raw_frame,self_raw_frame;self_history;self_highres_crop;static_room_source;auxiliary_modality
2026_q0016,How many duck sculptures are on the top shelf to the right of the fireplace?,a: 3 | b: 6 | c: 5 | d: 4,1,1,0,1,0,0,0,0,1,1,1,0,self_raw_frame,self_raw_frame;self_highres_crop;static_room_source;auxiliary_modality
2026_q0017,How many egg yolks were used to make the cinnamon star cookies?,a: 6 | b: 12 | c: 0 | d: 1,1,1,0,0,0,0,0,0,1,1,0,0,self_raw_frame,self_raw_frame;self_highres_crop;auxiliary_modality
2026_q0018,How many eggs did Cathal put into the rice pudding?,a: 2 | b: 3 | c: 1 | d: 4,1,0,0,0,0,0,0,0,1,1,0,0,self_raw_frame,self_raw_frame;auxiliary_modality
2026_q0019,How many eggs have been scrambled for breakfast on the third day?,a: 30 | b: 24 | c: 18 | d: 12,1,0,0,0,0,1,0,0,1,1,0,0,self_raw_frame,self_raw_frame;self_history;auxiliary_modality
2026_q0020,How many flower pots are on the black bench outside the front door of the house?,a: 2 | b: 3 | c: 4 | d: 1,1,1,0,1,0,0,0,1,1,1,1,1,self_raw_frame,self_raw_frame;self_highres_crop;external_user_view;static_room_source;auxiliary_modality
2026_q0021,"How many km away did Allie live from Cambodia, according to Cathal?",a: 10 km | b: 100 km | c: 250 km | d: 50 km,1,0,0,0,1,0,1,1,1,1,0,1,external_user_audio,external_user_audio;self_audio;self_raw_frame;external_user_view;auxiliary_modality
2026_q0022,How many Laptops were used to show the QR clock?,a: 3 | b: 4 | c: 1 | d: 2,1,0,1,0,0,0,0,0,1,1,0,0,self_highres_crop,self_highres_crop;self_raw_frame;auxiliary_modality
2026_q0023,How many layers of sheets were used for the lasagna?,a: 4 | b: 3 | c: 5 | d: 6,1,0,0,0,0,0,0,0,1,1,0,0,self_raw_frame,self_raw_frame;auxiliary_modality
2026_q0024,"How many levels did the wood towers have, which amazed Cathal and Tien?",a: 17 | b: 14 | c: 10 | d: 8,1,0,0,0,0,0,1,1,1,1,0,1,self_raw_frame,self_raw_frame;external_user_view;auxiliary_modality
2026_q0025,How many lights are hanging over the kitchen island?,a: 3 | b: 1 | c: 4 | d: 2,1,1,0,1,0,0,0,0,1,1,1,0,self_raw_frame,self_raw_frame;self_highres_crop;static_room_source;auxiliary_modality
2026_q0026,How many lights were on the Christmas tree?,a: 192 | b: 120 | c: 56 | d: 100,1,1,0,0,0,0,0,0,1,1,0,0,self_raw_frame,self_raw_frame;self_highres_crop;auxiliary_modality
2026_q0027,How many of the circuit breakers in the main breaker box of the house are labelled,a: Half | b: All | c: None | d: One,1,0,1,1,0,0,0,0,1,1,1,0,self_highres_crop,self_highres_crop;self_raw_frame;static_room_source;auxiliary_modality
2026_q0028,How many oranges were used to make the mulled wine?,a: 6 | b: 5 | c: 3 | d: 4,1,1,0,0,0,0,0,0,1,1,0,0,self_raw_frame,self_raw_frame;self_highres_crop;auxiliary_modality
2026_q0029,How many pain au chocolat did Stevan make for breakfast?,a: 38 | b: 16 | c: 30 | d: 24,1,0,0,0,0,0,0,0,1,1,0,0,self_raw_frame,self_raw_frame;auxiliary_modality
2026_q0030,How many paintings are hanging over the large couch?,a: 3 | b: 6 | c: 4 | d: 5,1,1,0,1,0,0,0,0,1,1,1,0,self_raw_frame,self_raw_frame;self_highres_crop;static_room_source;auxiliary_modality
2026_q0031,"How many people in the world are called Bjorn Thor Jonsson, according to Bjorn?",a: 1 | b: 4 | c: 2 | d: 3,1,0,0,0,1,0,1,1,1,1,0,1,external_user_audio,external_user_audio;self_audio;self_raw_frame;external_user_view;auxiliary_modality
2026_q0032,How many people were posing for the thermal group picture?,a: 2 | b: 8 | c: 3 | d: 5,1,0,0,0,0,0,1,1,1,1,0,1,self_raw_frame,self_raw_frame;external_user_view;auxiliary_modality
2026_q0033,How many recessed lights are in the ceiling of the kitchen?,a: 6 | b: 8 | c: 2 | d: 4,1,1,0,0,0,0,0,0,1,1,0,0,self_raw_frame,self_raw_frame;self_highres_crop;static_room_source;auxiliary_modality
2026_q0034,How many slices of lime were left after the meal on day 2?,a: 3 | b: 7 | c: 5 | d: 10,1,0,0,0,0,1,0,0,1,1,1,0,self_raw_frame,self_raw_frame;self_history;self_short_clip;auxiliary_modality
2026_q0035,How many slices of tomato did Klaus have for breakfast on the third day?,a: 2 | b: 4 | c: 3 | d: 5,1,0,0,0,0,1,0,0,1,1,0,0,self_raw_frame,self_raw_frame;self_history;auxiliary_modality
2026_q0036,How many tea bags were in the teapot on the second day?,a: 3 | b: 2 | c: 1 | d: 4,1,0,0,0,0,1,0,0,1,1,0,0,self_raw_frame,self_raw_frame;self_history;auxiliary_modality
2026_q0037,How many tubs of lasagna were made?,a: 4 | b: 1 | c: 3 | d: 2,1,0,0,0,0,0,0,0,1,1,0,0,self_raw_frame,self_raw_frame;auxiliary_modality
2026_q0038,How much did Cathal spend on the four buzzers for the happy quiz?,a: 12 eur | b: 4 eur | c: 9 eur | d: 16 eur,1,0,0,0,0,0,0,0,1,1,0,0,self_raw_frame,self_raw_frame;auxiliary_modality
2026_q0039,How much did it cost to rent the two houses for the duration of the CASTLE event?,a: 4000 eur | b: 9000 eur | c: 7000 eur | d: 8000 eur,1,0,0,0,0,0,0,0,1,1,0,0,self_raw_frame,self_raw_frame;auxiliary_modality
2026_q0040,In which cupboard did Werner store the liquid measuring cup?,"a: The cupboard next to the fridge. | b: The lower cupboard, to the left of the dishwasher. | c: The upper cupboard, above the coffee machine. | d: The lower cupboard, opposite the dishwasher.",0,0,0,0,0,0,0,0,1,1,0,0,self_raw_frame,self_raw_frame;auxiliary_modality
2026_q0041,In which cupboard was the role of trash bags stored?,a: Upper leftmost | b: Lower leftmost | c: Lower right next to the stove | d: Lower left next to the stove,0,0,0,0,0,0,0,0,1,1,0,0,self_raw_frame,self_raw_frame;auxiliary_modality
2026_q0042,What activity was taking place in the kitchen while Cathal was opening the Christmas pudding?,a: Food preparation | b: Brewing coffee | c: Cleaning | d: Snacking,0,0,0,0,0,1,0,0,0,0,0,0,self_history,self_history;self_short_clip;static_room_source
2026_q0043,What alcohol percentage did the rum have that went into the mulled wine?,a: 60% | b: 80% | c: 70% | d: 65%,0,0,0,0,0,0,0,0,0,0,0,0,self_caption,self_caption
2026_q0044,"What are Onanong and Tien doing when Allie is playing ""Twinkle Twinkle Little Star"" on the guitar?",a: Putting up the christmas tree | b: Playing the sea battle game | c: Eating breakfast | d: Unloading the dishwasher,0,0,0,0,0,1,1,1,0,0,0,1,self_history,self_history;self_short_clip;external_user_view
2026_q0045,What bank does Cathal use?,a: Wise | b: Bunq | c: Revolut | d: N26,0,0,0,0,0,0,0,0,0,0,0,0,self_caption,self_caption
2026_q0046,What book was Allie reading?,a: A christmas carol | b: War of the words | c: Alice's adventures in wonderland | d: Strange case of dr. jekyll and mr. hyde,0,0,0,0,0,0,0,0,0,0,0,0,self_caption,self_caption
2026_q0047,What brand is the dishwasher?,a: Whirlpool | b: Hotpoint | c: Siemens | d: Bosch,0,0,1,0,0,0,0,0,1,1,0,0,self_highres_crop,self_highres_crop;self_raw_frame;auxiliary_modality
2026_q0048,What brand is the fridge in the kitchen?,a: Liebherr | b: Whirlpool | c: Samsung | d: Bosch,0,0,1,0,0,0,0,0,1,1,0,0,self_highres_crop,self_highres_crop;self_raw_frame;static_room_source;auxiliary_modality
2026_q0049,What brand of tea was available?,a: Barry's | b: Lyons | c: Punjana | d: Bewley's,0,0,1,0,0,0,0,0,1,1,0,0,self_highres_crop,self_highres_crop;self_raw_frame;auxiliary_modality
2026_q0050,What challenge type did Stevan advocate for during the workshop on the third day?,a: Conversational search | b: Visual search | c: Continuous querying | d: Unstructured exploration,0,0,0,0,0,1,0,0,0,0,0,0,self_history,self_history;self_short_clip
2026_q0051,"What cheese did Cathal say ""is a great cheese""?",a: Kavanagh's port salut cheese | b: Applewood cheese | c: Kavanagh's carrigaline plain cheese | d: Supervalu emmental cheese,0,0,0,0,0,0,0,0,0,0,0,0,self_caption,self_caption
2026_q0052,What chore was Cathal doing on the morning of the second day?,a: Sweeping floors | b: Shining shoes | c: Washing towels | d: Frying eggs,0,0,0,0,0,1,0,0,0,0,0,0,self_history,self_history
2026_q0053,What color are Florian's slippers?,a: Grey | b: Purple | c: Blue | d: Black,0,1,0,0,0,0,0,0,1,1,0,0,self_raw_frame,self_raw_frame;auxiliary_modality
2026_q0054,What color are the flowers in the middle painting of the three on the wall behind the couch?,a: Blue | b: White | c: Pink | d: Yellow,0,1,0,1,0,0,0,1,1,1,1,1,self_raw_frame,self_raw_frame;external_user_view;static_room_source;auxiliary_modality
2026_q0055,What color is Allie's bracelet?,a: White | b: Black | c: Gold | d: Red,0,1,0,0,0,0,0,0,1,1,0,0,self_raw_frame,self_raw_frame;auxiliary_modality
2026_q0056,What color is the housing of the thermal camera?,a: Blue | b: Red | c: Yellow | d: Green,0,1,0,0,0,0,0,0,1,1,0,0,self_raw_frame,self_raw_frame;auxiliary_modality
2026_q0057,What color is the origami crane that Bao made?,a: Red | b: Blue | c: Green | d: White,0,1,0,0,0,0,0,0,1,1,0,0,self_raw_frame,self_raw_frame;auxiliary_modality
2026_q0058,What color was the handle of the knife Klaus used to prepare the shallots?,a: Green | b: Yellow | c: Red | d: Blue,0,1,0,0,0,0,0,0,1,1,0,0,self_raw_frame,self_raw_frame;auxiliary_modality
2026_q0059,What colour was the rim of Werner's plate during breakfast on the first day?,a: Green | b: White | c: Gray | d: Yellow,0,1,0,0,0,1,0,0,1,1,0,0,self_raw_frame,self_raw_frame;self_history;self_short_clip;auxiliary_modality
2026_q0060,What conference were many of the participants involved in organising in the upcoming October?,a: Cikm | b: Ieee icme | c: Acm mm | d: Ecir,0,0,0,0,0,0,0,0,0,0,0,0,self_caption,self_caption
2026_q0061,What country did Allie tell Bao also has curry with sausages?,a: Germany | b: Ireland | c: Thailand | d: Czechia,0,0,0,0,0,0,1,1,0,0,0,1,self_caption,self_caption;external_user_view
2026_q0062,What design pattern is on the teapot?,a: Vegetables | b: Cats | c: Flowers | d: Goats,0,1,0,0,0,0,0,0,1,1,0,0,self_raw_frame,self_raw_frame;auxiliary_modality
2026_q0063,"What did Bjorn shout out to see in the distance when he was on the patio with Klaus, Stevan, and Werner?",a: Boat | b: Cathal | c: Sheep | d: Water,0,0,0,0,0,1,1,1,0,1,0,1,self_history,self_history;self_short_clip;external_user_view;auxiliary_modality
2026_q0064,What did Bjorn suggest that 'Father Christmas said when he was speed dating'?,a: Merry christmas! | b: Jesus! | c: Ho ho ho! | d: Holy mother!,1,0,0,0,1,1,0,0,1,1,0,0,self_audio,self_audio;self_history;self_raw_frame;self_short_clip;auxiliary_modality
2026_q0065,What did Cathal put on the Christmas Cake?,a: Salted caramel | b: Whipped cream | c: Double cream | d: Bailey's cream,0,0,0,0,0,0,0,0,0,0,0,0,self_caption,self_caption
2026_q0066,What did Cathal tell Stevan his heart rate was when he was making coffee?,a: 92 | b: 87 | c: 78 | d: 112,1,0,0,0,0,1,1,1,1,1,0,1,self_raw_frame,self_raw_frame;self_history;self_short_clip;external_user_view;auxiliary_modality
2026_q0067,What did Florian have for breakfast on the second day?,a: Apple juice | b: Cornflakes | c: Cheese croissant | d: Toast with butter,0,0,0,0,0,1,0,0,0,0,0,0,self_history,self_history
2026_q0068,What did Klaus bring back inside before leaving for the beach?,a: Torch light | b: Trash container | c: Car key | d: Glass bottles,0,0,0,1,0,1,0,0,1,1,1,0,self_raw_frame,self_raw_frame;self_history;self_short_clip;auxiliary_modality
2026_q0069,What did Klaus drop when moving the candlestick holder?,a: Candle | b: Wineglass | c: Matchbox | d: Salt shaker,0,0,0,0,0,1,0,0,0,0,0,0,self_history,self_history;self_short_clip
2026_q0070,What did Luca find in the IKEA box for Allie?,a: A board game | b: Color pens | c: A peeler | d: Christmas baubles,0,1,0,0,0,0,1,1,1,1,0,1,self_raw_frame,self_raw_frame;external_user_view;auxiliary_modality
2026_q0071,What does Cathal like to do to relax while watching TV?,a: Making butter | b: Folding paper boats | c: Solving sudokus | d: Knitting socks,0,0,0,0,0,1,0,0,0,0,0,0,self_history,self_history;self_short_clip
2026_q0072,What does the sign above the doorbell say?,a: Guest house | b: Visitors welcome | c: Please ring | d: Bell,0,0,1,0,0,0,0,0,1,1,0,0,self_highres_crop,self_highres_crop;self_raw_frame;auxiliary_modality
2026_q0073,What family name is on the coat of arms in the reading area?,a: Healy | b: Keogh | c: O'neill | d: Salmon,0,0,0,0,0,0,0,0,0,0,0,0,self_caption,self_caption
2026_q0074,What finger does Cathal wear his smart ring on?,a: Pinky | b: Middle finger | c: Ring finger | d: Index finger,0,0,0,0,0,0,0,0,0,0,0,0,self_caption,self_caption
2026_q0075,What fish was used for the breakfast spread?,a: Mackerel | b: Salmon | c: Traut | d: Tuna,0,0,0,0,0,0,0,0,0,0,0,0,self_caption,self_caption
2026_q0076,What fruit flavour does the shampoo that Cathal bought have?,a: Strawberry | b: Banana | c: Pineapple | d: Watermelon,0,0,0,0,0,0,0,0,0,0,0,0,self_caption,self_caption
2026_q0077,What fruit was sitting on the kitchen island the longest?,a: Pear | b: Apple | c: Pineapple | d: Banana,0,0,0,1,0,0,0,0,1,1,1,0,self_raw_frame,self_raw_frame;static_room_source;auxiliary_modality
2026_q0078,What game did Bjorn suggest to play with the cameras?,"a: Hide and seek | b: Chicken | c: Freeze tag | d: Red light, green light",0,1,0,0,1,0,1,1,1,1,0,1,external_user_audio,external_user_audio;self_audio;self_raw_frame;external_user_view;auxiliary_modality
2026_q0079,What is on the back of Werner's t-shirt on the first day?,a: Katg | b: Abtg | c: Rbtg | d: Kbtg,0,0,0,0,0,1,0,0,0,0,0,0,self_history,self_history
2026_q0080,What is on the floor near Luca when he plays Mikado with Stevan?,a: Magazine | b: Cushion | c: Paper plane | d: Toy block,0,0,0,0,0,1,1,1,0,0,0,1,self_history,self_history;self_short_clip;external_user_view
2026_q0081,What is on top of the fridge in the kitchen?,a: A set of bowls | b: A power socket | c: Recipe books | d: A metal tray,0,0,0,0,0,0,0,0,0,0,0,0,self_caption,self_caption;static_room_source
2026_q0082,What is the brand of the microwave oven?,a: Bosch | b: Hoover | c: Samsung | d: Nordmende,0,0,1,0,0,0,0,0,1,1,0,0,self_highres_crop,self_highres_crop;self_raw_frame;auxiliary_modality
2026_q0083,What is the brand of the oat milk Allie drank for breakfast on day 4?,a: Califia | b: Oatly | c: Flahavan's | d: Alpro,0,0,1,0,0,1,0,0,1,1,0,0,self_highres_crop,self_highres_crop;self_history;self_raw_frame;auxiliary_modality
2026_q0084,What is the capacity of the external batteries powering the wearable cameras?,a: 10000mah | b: 30000mah | c: 20000mah | d: 5000mah,0,0,0,0,0,0,0,0,0,0,0,0,self_caption,self_caption
2026_q0085,What is the dominant color of the big bag of rice?,a: White | b: Orange | c: Yellow | d: Blue,0,1,0,0,0,0,0,0,1,1,0,0,self_raw_frame,self_raw_frame;auxiliary_modality
2026_q0086,What is the name of the person Cathal mentions as an example for an on-site manager?,a: Allie | b: Jennifer | c: Alice | d: Alan,0,0,0,0,0,0,1,1,0,0,0,1,self_caption,self_caption;external_user_view
2026_q0087,"What item did Bao give to Stevan, which was then passed to Luca in the kitchen?",a: A camera | b: A travel plug | c: A meal list | d: A ball,0,1,0,0,0,1,1,1,1,1,0,1,self_raw_frame,self_raw_frame;self_history;external_user_view;static_room_source;auxiliary_modality
2026_q0088,What item did Bao pick up from the fireplace mantel to examine for a few seconds on more than one occasion?,a: Book | b: Card game | c: Cellphone | d: Ornament,0,1,0,1,0,0,0,0,1,1,1,0,self_raw_frame,self_raw_frame;static_room_source;auxiliary_modality
2026_q0089,"What item was dropped when Cathal, Klaus, and others drove to the sea on a windy day?",a: Car keys | b: Phone | c: Hat | d: Map,0,1,0,0,0,1,1,1,1,1,0,1,self_raw_frame,self_raw_frame;self_history;self_short_clip;external_user_view;auxiliary_modality
2026_q0090,What item was Tien looking for when Allie and Florian just started playing chess?,a: Tape | b: Glue | c: Scissors | d: Pencil,0,1,0,0,0,1,1,1,1,1,0,1,self_raw_frame,self_raw_frame;self_history;self_short_clip;external_user_view;auxiliary_modality
