case_id,question_id,question,answer,category,context_day,context_start,context_end,agents_in_context,query_user,query_user_status,top_self_current_summary,top_self_history_summary,top_external_current_summary,top_external_history_summary,candidate_historical_helpful,likely_case_type,notes,needs_human_review
HISTV1_001,1402,Who used the cabinet the most before 1PM on DAY4?,Shure,environmental_interaction,4,10:52:39.00,11:49:17.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,UNKNOWN,unknown,,,,,possible,needs_manual_review,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_002,1527,Who used the mirror the most after 6PM on DAY4?,Shure,environmental_interaction,4,18:15:07.00,22:23:58.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,UNKNOWN,unknown,,,,,possible,needs_manual_review,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_003,1528,Who used the mirror the most after 6PM on DAY6?,Katrina,environmental_interaction,6,19:28:52.00,20:53:48.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,UNKNOWN,unknown,,,,,possible,needs_manual_review,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_004,1564,Who used the piano the most after 6PM on DAY6?,Nicous,environmental_interaction,6,19:29:43.00,20:59:08.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,UNKNOWN,unknown,,,,,possible,needs_manual_review,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_005,1577,When was the first time power bank was used after 6PM on DAY3?,6 PM,environmental_interaction,3,18:07:23.00,20:48:55.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,UNKNOWN,unknown,,,,,possible,needs_manual_review,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_006,1579,Who used the power bank the most after 6PM on DAY3?,Jake,environmental_interaction,3,18:07:23.00,20:48:55.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,UNKNOWN,unknown,,,,,possible,needs_manual_review,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_007,729,What collaborative task did Jack initiate when it was time for the next song during the rehearsal?,He used the microphone to organize the singing order.,task_coordination,6,19:50:00.00,19:55:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,UNKNOWN,unknown,,,,,possible,needs_manual_review,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_008,831,"In cleaning coordination, what sequence did the participants use to ensure cleaning and follow-through in different events?","They completed first-floor cleaning before planning, and later followed Tasha’s proposed steps while Jake prepared materials.",task_coordination,2,22:00:00.00,22:05:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,UNKNOWN,unknown,,,,,possible,needs_manual_review,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_009,735,Who helped finalize the arrangement for ensuring everyone accessed what they needed during cleanup tasks after performance event?,Jake by confirming they’d help delete unnecessary data,task_coordination,6,21:05:00.00,21:10:00.00,Jake;Alice;Tasha;Lucia;Shure,UNKNOWN,unknown,,,,,possible,needs_manual_review,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_010,455,"During the cleaning sequence, whose idea was it to avoid cooking at home in the future?",Tasha suggested it because no one wants to do the dishes.,task_coordination,2,21:05:00.00,21:10:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,UNKNOWN,unknown,,,,,possible,needs_manual_review,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_011,475,What did Tasha propose when organizing the gift exchange task?,To taste the drinks after sorting the cups.,task_coordination,3,11:35:00.00,11:40:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,Tasha,inferred_weak,"Tasha D3 11:40:00.00-11:50:00.00: I'm sitting at a table with Jake, Lucia, Shure, Alice, Tasha and Katrina, engaged in a water-tasting challenge, attempting to distinguish...","Tasha D1 19:27:00.00-19:27:30.00: Sitting on the bed, I begin by expressing how I feel full and hungry quickly, considering eating less, but more frequently as a solution.... || Tasha D1 12:36:00.00-12:36:30.00: Alright, I'm at a table on Day 1 with Jake, Alice, and Shure. We are trying to put together some kind of wooden puzzle or art piece on th...","Alice D3 11:30:00.00-11:40:00.00: it's Day 3, and I was mostly just chilling in the living room, completely engrossed in my phone, browsing Xiaohongshu. I started by looki... || Lucia D3 11:38:30.00-11:39:00.00: Alright, here's what I did. I started by opening the network on my phone, then heard Tasha say, ""Let's go."" I returned to the page on my ...","Jake D2 13:48:30.00-13:49:00.00: The video begins with me overhearing Alice mentioning someone brought something, followed by Katrina stating that there isn't a gift exch... || Lucia D2 21:27:00.00-21:27:30.00: I am sitting at a table with Alice and Tasha, engaging in a conversation about an upcoming gift exchange. Alice initiates the discussion ...",possible,external_history_needed_candidate,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_012,487,"Alright, so if we're talking about how everyone managed the game tokens at the arcade, how was the last coin at one point planned to be used?",It was given to Jake for him to decide what to do with it.,task_coordination,3,16:10:00.00,16:15:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,UNKNOWN,unknown,,,,,possible,needs_manual_review,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_013,1113,"Which of the following happened first? A) Lucia oversaw reimbursements and dismantled a cabinet before departure planning B) Alice coordinated takeout ordering and kitchen prep after organizing groceries, C) Shure managed recording setups while the group planned meals and budgets, D) Katrina led themed room planning and wrapped up the session, E) Jake finalized plans for the evening BBQ and post-dinner activities,",E,temporal_reasoning,1,12:10:00.00,20:10:00.00,Jake;Alice;Lucia;Katrina;Shure,UNKNOWN,unknown,,,,,possible,needs_manual_review,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_014,1161,"Which of the following happened first? A) Katrina checked messages on WeChat after discussing food, B) Alice filled a bottle with water in the bathroom, C) Jake used a hole punch to make holes in a bag D) Lucia drank water while watching Shure and Katrina, E) Tasha washed dishes and organized bowls at the sink,",B,temporal_reasoning,1,12:14:00.00,12:14:30.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,UNKNOWN,unknown,,,,,possible,needs_manual_review,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_015,1165,"Which of the following happened last? A) Tasha led evening cleanup and planned next day's activities, B) Lucia curated dance videos and finished sketching a cat for art, C) Katrina rehearsed music with Shure and mentored Nicous on guitar D) Alice finalized event roles and schedules for the evening program, E) Jake wrapped picnic setup and concluded filming of the gathering,",C,temporal_reasoning,1,12:10:00.00,14:20:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,UNKNOWN,unknown,,,,,possible,needs_manual_review,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_016,1186,"Which is the correct sequence of events? A) Lucia helped finalize an Earth Day-themed coin-and-auction event plan, B) Alice guided park route decisions after checking the tourist map and discussing vending machine issues, C) Jake went shopping at a supermarket with a problematic cart and browsed beverages and housewares",A-B-C,temporal_reasoning,1,11:50:00.00,14:20:00.00,Jake;Alice;Tasha;Lucia;Katrina,UNKNOWN,unknown,,,,,possible,needs_manual_review,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_017,1360,"When Jake was walking with Nicous and Tasha carrying a package behind the houses, and Alice was listening to sad love songs and finishing a star, what was Shure doing?",Cleaning up the trash and packing it into a box while chatting with Katrina.,temporal_reasoning,6,11:36:00.00,11:36:30.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,UNKNOWN,unknown,,,,,possible,needs_manual_review,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_018,1095,"Which of the following happened last? A) Jake systematically scanned all rooms with his phone to document the space B) Tasha multitasked on her phone and instructed refrigerating dessert before the meal, C) Katrina settled on a simple upbeat dance during pancake cooking, D) Alice filmed Shure’s drum game and tried the claw machine, E) Lucia coordinated cake layering and joined the group for outdoor dining,",A,temporal_reasoning,2,11:00:00.00,11:10:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,UNKNOWN,unknown,,,,,possible,needs_manual_review,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_019,2,"When Katrina helped finalize the list on the whiteboard, who seemed most actively giving her suggestions?",Lucia and Tasha,social_interaction,1,13:50:00.00,13:55:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,Katrina,inferred_weak,,"Katrina D1 13:37:00.00-13:37:30.00: I am actively recording, capturing a conversation where Jake jokes that someone, presumably Lucia, didn't remember something, to which Lu... || Katrina D1 11:29:30.00-11:30:00.00: The video begins with my hand resting on the table as Jake discusses the original plan to invite people from the area. I turn my head to ...","Tasha D1 13:55:00.00-13:55:30.00: I am holding a tablet and watching Katrina as she writes on a whiteboard. Initially, Jake and Lucia discuss the presence of lures, determ... || Lucia D1 13:51:00.00-13:51:30.00: The video starts with a discussion about what kind of juice to buy. Katrina and I, Lucia, discussed ""fruity ones"" and whether they are ge...","Jake D1 13:10:00.00-13:20:00.00: Initially, I was operating the rack, tightening screws and trying to get everything secured while others, including Lucia, Jake, and Tash... || Shure D1 13:00:00.00-13:10:00.00: I was deeply involved in a collaborative project of assembling a white shelf or furniture piece, constantly surrounded by Jake, Lucia, Ta...",possible,external_history_needed_candidate,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_020,170,"Who helped each other find scissors, and what were the scissors used for?",Jake handed scissors to Katrina for her package and flower crafts.,social_interaction,4,12:20:00.00,12:25:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,UNKNOWN,unknown,,,,,possible,needs_manual_review,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_021,373,How did phone handling during food ordering differ across the situations?,"Alice first hesitated with the phone, later completed the order, while Jake refused to give his phone to Tasha.",social_interaction,1,13:40:00.00,13:45:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,UNKNOWN,unknown,,,,,possible,needs_manual_review,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_022,4,"Who seemed the most amused by the idea of cardboard greeters, and what was their reaction?",Alice humorously mentioned keeping all boxes just to make more dogs.,social_interaction,1,13:55:00.00,14:00:00.00,Jake;Alice;Tasha;Lucia;Shure,UNKNOWN,unknown,,,,,possible,needs_manual_review,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_023,36,"Who's the one that jokingly said, 'so much pressure' when they were told to do a grand opening decoration?","Jake, amused but concerned about the task.",social_interaction,1,21:40:00.00,21:45:00.00,Jake;Alice;Lucia;Katrina;Shure,UNKNOWN,unknown,,,,,possible,needs_manual_review,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_024,115,"When deciding on drinks, who suggested a 'big bottle' and why?","Jake, who said the big bottle could be finished.",social_interaction,3,16:50:00.00,16:55:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,UNKNOWN,unknown,,,,,possible,needs_manual_review,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_025,903,What misunderstanding did Alice have about the beverages at first?,She thought the drinks included sodas but later realized it was only water.,theory_of_mind,3,11:40:00.00,11:45:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,Alice,inferred_weak,"Alice D3 11:39:30.00-11:40:00.00: Alright, let me detail what I'm doing in this video. We were getting ready to go out. I heard Lucia saying, ""Yeah, it's really urgent,"" a... || Alice D3 11:30:00.00-11:40:00.00: it's Day 3, and I was mostly just chilling in the living room, completely engrossed in my phone, browsing Xiaohongshu. I started by looki...","Alice D2 18:24:30.00-18:25:00.00: I start by observing a jar of seasoning on the table, while Tasha, who is looking at a tablet and occasionally glancing up, asks, ""Do you... || Alice D2 11:20:00.00-11:30:00.00: I was sitting at the checkered table, enjoying a casual breakfast with Alice, Jake, Katrina, Lucia, and Tasha. The conversation started w...","Lucia D3 11:40:00.00-11:40:30.00: The video starts with me taking a step forward after hearing Shure say, ""If I knew, I wouldn't have had coffee for this activity."" Shure ... || Jake D3 11:47:00.00-11:47:30.00: I am standing and listening to my colleagues conversing, with Shure saying, ""Because it's the biggest,"" and then, ""Could it be."" I hear T...","Shure D1 17:34:00.00-17:34:30.00: I am navigating through the supermarket aisle, starting in front of a shelf stocked with various beverages, including soda water. Initial... || Lucia D1 17:33:00.00-17:33:30.00: I'm in a store, pushing a shopping cart with a Coca-Cola bottle already inside. We are standing in front of a long shelf stocked with var...",possible,external_history_needed_candidate,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_026,915,Why was Katrina initially confused about what was happening with the ball during the game?,She assumed it would require manual intervention to release the ball.,theory_of_mind,3,16:25:00.00,16:30:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,Katrina,inferred_weak,"Katrina D3 16:30:00.00-16:40:00.00: I headed out to the sale store because I needed to get face towels and sanitary napkins. A couple of people said they'd come along. Once ... || Katrina D3 16:20:00.00-16:30:00.00: The video begins with me deeply engrossed in playing the ""Initial D Zero"" arcade game, gripping the steering wheel and skillfully navigat...","Katrina D3 16:00:00.00-16:10:00.00: I started off by walking through a brightly lit arcade, marveling at all the games. I was with Katrina, Violet, Shure, and Jake, and we w... || Katrina D2 22:40:00.00-22:50:00.00: I was initially engrossed in my phone, then raised my hand to acknowledge Katrina before Jake approached, phone in hand, arranging for so...","Lucia D3 16:20:00.00-16:30:00.00: I started off completely absorbed in a round of Initial D Zero, fiercely gripping the steering wheel and making constant adjustments to s... || Jake D3 16:20:00.00-16:30:00.00: We're at the arcade again, and it all started with us at a bowling game. I made comments about hitting the target and the lighter grand p...","Tasha D3 16:17:30.00-16:18:00.00: Okay, you go ahead. I then saw that the bowling missed by a hair. Jake then said, ""But I might... oh, if it hits both sides, it should go... || Alice D3 16:06:00.00-16:06:30.00: I observed the air hockey game intently, expressing concern with, ""Ah, why so many?"" noting how hard Tasha was working at the game. It ap...",possible,external_history_needed_candidate,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_027,1013,Why did Jake try to direct someone to the 'first floor Huawei' during their shopping trip?,Because that was where the group had agreed to regroup.,theory_of_mind,5,15:55:00.00,16:00:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,Jake,inferred_weak,"Jake D5 15:58:30.00-15:59:00.00: Alright, I'm starting off in what appears to be a supermarket aisle, and I'm talking to Tasha on the phone, having finally gotten through... || Jake D5 16:02:00.00-16:02:30.00: I am pushing a shopping cart through a supermarket. Someone isn't helping me. I turn left down an aisle. Jake notices a barbecue set on d...","Jake D5 15:53:00.00-15:53:30.00: The video starts as I'm walking through what appears to be a mall area. I notice a small shop with ""Huawei"" written on it, and I'm surpri... || Jake D5 15:52:30.00-15:53:00.00: I began by scrolling through WeChat, searching for a contact, and then initiated a phone call. I walked forward, entering a supermarket, ...","Tasha D5 15:56:00.00-15:56:30.00: I began by walking behind Lucia within what appears to be a large, warehouse-style supermarket. I then moved forward, subsequently pickin... || Tasha D5 15:50:00.00-16:00:00.00: here's what happened during that 10-minute stretch. We were in a store, most likely a supermarket based on all the items inside and the p...","Lucia D5 15:53:00.00-15:53:30.00: The video begins with me turning my head to observe a store, identifying it as ""Huawei"". I take a closer look, noting the ""Huawei"" sign d... || Tasha D5 15:53:00.00-15:53:30.00: I am inside a supermarket with Jake, Lucia, and Tasha. I looked around the interior of the market as I walked forward with Jake. Jack com...",possible,external_history_needed_candidate,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_028,861,Why did Jake joke about putting all the puzzle pieces in randomly while everyone else took the task seriously?,Because Jake wanted to test how mismatched the pieces would look.,theory_of_mind,1,12:30:00.00,12:35:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,Jake,inferred_weak,"Jake D1 12:29:30.00-12:30:00.00: the video starts with me joining others around a table with a red and white checkered tablecloth as we attempt to assemble a puzzle. I in... || Jake D1 12:29:00.00-12:29:30.00: I am here, looking for puzzle pieces with everyone. Tasha says, ""Hmm."" I'm still searching for the right piece of the puzzle. Katrina men...","Jake D1 12:29:00.00-12:29:30.00: I am here, looking for puzzle pieces with everyone. Tasha says, ""Hmm."" I'm still searching for the right piece of the puzzle. Katrina men... || Jake D1 12:29:30.00-12:30:00.00: the video starts with me joining others around a table with a red and white checkered tablecloth as we attempt to assemble a puzzle. I in...","Shure D1 12:34:30.00-12:35:00.00: I observe Alice making observations about the assembly of an object, stating, ""It's not a perfect fit. Some are just approximate. Hmm, th... || Alice D1 12:34:30.00-12:35:00.00: seated at a table covered with a checkered tablecloth on Day 1, I'm working on a puzzle with Jake, Lucia, Tasha and Katrina. I noted that...","Tasha D1 12:29:30.00-12:30:00.00: I am sitting at a table with others, attempting to piece together a wooden puzzle. Initially, I place a piece on the plate, then voice my... || Shure D1 12:28:30.00-12:29:00.00: The video starts with a view of a group of us gathered around a table covered with a red and white checkered tablecloth. We're working on...",possible,external_history_needed_candidate,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_029,864,What made everyone laugh about the espresso conversation?,Lucia’s reaction to ordering a concentrated shot.,theory_of_mind,1,13:35:00.00,13:40:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,UNKNOWN,unknown,,,,,possible,needs_manual_review,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_030,866,Why did Jake ask if preserving ice cubes could be eaten?,Because he was genuinely confused about their purpose.,theory_of_mind,1,18:15:00.00,18:20:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,Jake,inferred_weak,"Jake D1 18:19:30.00-18:20:00.00: I am standing in the checkout line at what appears to be a grocery store, as indicated by the ""Check Out"" sign above the registers. I say... || Jake D1 18:15:00.00-18:15:30.00: The video starts with me standing in what appears to be a grocery store near the checkout area. I'm holding a black bag, and I hear mysel...","Jake D1 17:33:30.00-17:34:00.00: The video begins with me pushing a shopping cart through a grocery store, my hands visible on the handle. We're in an aisle with refriger... || Jake D1 11:55:00.00-11:55:30.00: The video starts with a group of us sitting around a table. Katrina suggests we ask someone to buy ice and wonders if there's a cafe near...","Tasha D1 18:19:30.00-18:20:00.00: The video begins with me standing at the checkout counter, interacting with others as we unload groceries from our shopping carts. I make... || Katrina D1 18:19:30.00-18:20:00.00: as Jake, the video begins with Katrina stating, ""This needs to be sealed."" I respond with ""Yes, yes"" and then state that ""I'll take this ...","Lucia D1 11:54:30.00-11:55:00.00: I am sharing my cooking experience with the group. I comment on the texture of the meat, stating, ""If the meat is too soft, I can't cut i... || Alice D1 11:54:30.00-11:55:00.00: The video begins with me selecting a flower branch from a cluster of flowers lying on the table. I lift it and begin to fiddle with its b...",possible,needs_manual_review,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
