case_id,question_id,category,subcategory,question,answer,options_json,context_day,context_start,context_end,agents_in_context,selection_score,query_user,query_user_status,needs_human_review,notes
HISTV1_001,1402,environmental_interaction,environmental_interaction,Who used the cabinet the most before 1PM on DAY4?,Shure,"[""Shure"", ""Jake"", ""Tasha"", ""Alice"", ""Katrina""]",4,10:52:39.00,11:49:17.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,16,UNKNOWN,unknown,yes,query_user is provisional; candidate selected by text heuristics only
HISTV1_002,1527,environmental_interaction,environmental_interaction,Who used the mirror the most after 6PM on DAY4?,Shure,"[""Jake"", ""Alice"", ""Shure"", ""Tasha"", ""Lucia""]",4,18:15:07.00,22:23:58.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,16,UNKNOWN,unknown,yes,query_user is provisional; candidate selected by text heuristics only
HISTV1_003,1528,environmental_interaction,environmental_interaction,Who used the mirror the most after 6PM on DAY6?,Katrina,"[""Tasha"", ""Katrina"", ""Shure"", ""Lucia"", ""Alice""]",6,19:28:52.00,20:53:48.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,16,UNKNOWN,unknown,yes,query_user is provisional; candidate selected by text heuristics only
HISTV1_004,1564,environmental_interaction,environmental_interaction,Who used the piano the most after 6PM on DAY6?,Nicous,"[""Katrina"", ""Shure"", ""Nicous"", ""Lucia"", ""Tasha""]",6,19:29:43.00,20:59:08.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,16,UNKNOWN,unknown,yes,query_user is provisional; candidate selected by text heuristics only
HISTV1_005,1577,environmental_interaction,environmental_interaction,When was the first time power bank was used after 6PM on DAY3?,6 PM,"[""9 PM"", ""6 PM"", ""8 PM"", ""7 PM"", ""10 PM""]",3,18:07:23.00,20:48:55.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,16,UNKNOWN,unknown,yes,query_user is provisional; candidate selected by text heuristics only
HISTV1_006,1579,environmental_interaction,environmental_interaction,Who used the power bank the most after 6PM on DAY3?,Jake,"[""Tasha"", ""Katrina"", ""Alice"", ""Jake"", ""Lucia""]",3,18:07:23.00,20:48:55.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,16,UNKNOWN,unknown,yes,query_user is provisional; candidate selected by text heuristics only
HISTV1_007,729,task_coordination,single_span,What collaborative task did Jack initiate when it was time for the next song during the rehearsal?,He used the microphone to organize the singing order.,"[""He managed the seating arrangement for the performers."", ""He suggested dividing tasks among the team."", ""He used the microphone to organize the singing order."", ""He led a group discussion to decide on the playlist."", ""He adjusted the volume on the electronic keyboard.""]",6,19:50:00.00,19:55:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,15,UNKNOWN,unknown,yes,query_user is provisional; candidate selected by text heuristics only
HISTV1_008,831,task_coordination,multi_span,"In cleaning coordination, what sequence did the participants use to ensure cleaning and follow-through in different events?","They completed first-floor cleaning before planning, and later followed Tasha’s proposed steps while Jake prepared materials.","[""They completed first-floor cleaning before planning, and later followed Tasha’s proposed steps while Jake prepared materials."", ""They completed first-floor cleaning before planning, and later followed Katrina’s proposed steps while Katrina prepared materials."", ""They finished cleaning the first floor before planning, and later followed Katrina’s proposed steps while Katrina prepared materials."", ""They planned before completing first-floor cleaning, and later followed Tasha’s proposed steps while Jake prepared materials."", ""They planned before completing first-floor cleaning, and later followed Katrina’s proposed steps while Katrina prepared materials.""]",2,22:00:00.00,22:05:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,15,UNKNOWN,unknown,yes,query_user is provisional; candidate selected by text heuristics only
HISTV1_009,735,task_coordination,single_span,Who helped finalize the arrangement for ensuring everyone accessed what they needed during cleanup tasks after performance event?,Jake by confirming they’d help delete unnecessary data,"[""Shure by handling the task execution directly"", ""Tasha by ensuring sorted files were distributed accordingly"", ""Jake by confirming they’d help delete unnecessary data"", ""Lucia by creating a plan and distributing tasks"", ""Alice by instructing the group to wait until cleanup day""]",6,21:05:00.00,21:10:00.00,Jake;Alice;Tasha;Lucia;Shure,14,UNKNOWN,unknown,yes,query_user is provisional; candidate selected by text heuristics only
HISTV1_010,455,task_coordination,single_span,"During the cleaning sequence, whose idea was it to avoid cooking at home in the future?",Tasha suggested it because no one wants to do the dishes.,"[""Tasha suggested it because no one wants to do the dishes."", ""Shure sarcastically pointed out how much effort cleaning requires."", ""Lucia complained about the cooking space, prompting the idea."", ""Katrina mentioned how difficult it was to clean the greasy surfaces post-meal."", ""Jake proposed it to reduce the workload of cleaning.""]",2,21:05:00.00,21:10:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,13,UNKNOWN,unknown,yes,query_user is provisional; candidate selected by text heuristics only
HISTV1_011,475,task_coordination,single_span,What did Tasha propose when organizing the gift exchange task?,To taste the drinks after sorting the cups.,"[""To finalize the seating arrangement before the event."", ""To label all the gift boxes with name tags."", ""To taste the drinks after sorting the cups."", ""To check the gifts upstairs during the preparation phase."", ""To delay the event until more people arrive.""]",3,11:35:00.00,11:40:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,13,Tasha,inferred_weak,yes,query_user is provisional; candidate selected by text heuristics only
HISTV1_012,487,task_coordination,single_span,"Alright, so if we're talking about how everyone managed the game tokens at the arcade, how was the last coin at one point planned to be used?",It was given to Jake for him to decide what to do with it.,"[""It was given to Jake for him to decide what to do with it."", ""It was used for Katrina's racing game because she needed more tokens."", ""It was given to Tasha to play one of the rhythm games."", ""It was saved for later since they were running out of coins."", ""It was tossed into the claw machine as a group decision.""]",3,16:10:00.00,16:15:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,13,UNKNOWN,unknown,yes,query_user is provisional; candidate selected by text heuristics only
HISTV1_013,1113,temporal_reasoning,comparison,"Which of the following happened first? A) Lucia oversaw reimbursements and dismantled a cabinet before departure planning B) Alice coordinated takeout ordering and kitchen prep after organizing groceries, C) Shure managed recording setups while the group planned meals and budgets, D) Katrina led themed room planning and wrapped up the session, E) Jake finalized plans for the evening BBQ and post-dinner activities,",E,"[""A"", ""B"", ""C"", ""D"", ""E""]",1,12:10:00.00,20:10:00.00,Jake;Alice;Lucia;Katrina;Shure,13,UNKNOWN,unknown,yes,query_user is provisional; candidate selected by text heuristics only
HISTV1_014,1161,temporal_reasoning,comparison,"Which of the following happened first? A) Katrina checked messages on WeChat after discussing food, B) Alice filled a bottle with water in the bathroom, C) Jake used a hole punch to make holes in a bag D) Lucia drank water while watching Shure and Katrina, E) Tasha washed dishes and organized bowls at the sink,",B,"[""A"", ""B"", ""C"", ""D"", ""E""]",1,12:14:00.00,12:14:30.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,13,UNKNOWN,unknown,yes,query_user is provisional; candidate selected by text heuristics only
HISTV1_015,1165,temporal_reasoning,comparison,"Which of the following happened last? A) Tasha led evening cleanup and planned next day's activities, B) Lucia curated dance videos and finished sketching a cat for art, C) Katrina rehearsed music with Shure and mentored Nicous on guitar D) Alice finalized event roles and schedules for the evening program, E) Jake wrapped picnic setup and concluded filming of the gathering,",C,"[""A"", ""B"", ""C"", ""D"", ""E""]",1,12:10:00.00,14:20:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,13,UNKNOWN,unknown,yes,query_user is provisional; candidate selected by text heuristics only
HISTV1_016,1186,temporal_reasoning,comparison,"Which is the correct sequence of events? A) Lucia helped finalize an Earth Day-themed coin-and-auction event plan, B) Alice guided park route decisions after checking the tourist map and discussing vending machine issues, C) Jake went shopping at a supermarket with a problematic cart and browsed beverages and housewares",A-B-C,"[""A-C-B"", ""C-A-B"", ""B-A-C"", ""A-B-C"", ""B-C-A""]",1,11:50:00.00,14:20:00.00,Jake;Alice;Tasha;Lucia;Katrina,13,UNKNOWN,unknown,yes,query_user is provisional; candidate selected by text heuristics only
HISTV1_017,1360,temporal_reasoning,concurrency,"When Jake was walking with Nicous and Tasha carrying a package behind the houses, and Alice was listening to sad love songs and finishing a star, what was Shure doing?",Cleaning up the trash and packing it into a box while chatting with Katrina.,"[""Tuning a guitar and practicing a song in the living room."", ""Cleaning up the trash and packing it into a box while chatting with Katrina."", ""Cooking dinner in the kitchen and setting the table for everyone."", ""Riding a bike to pick up a package from the lottery shop."", ""Fixing a leaky faucet and mopping water off the floor.""]",6,11:36:00.00,11:36:30.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,13,UNKNOWN,unknown,yes,query_user is provisional; candidate selected by text heuristics only
HISTV1_018,1095,temporal_reasoning,comparison,"Which of the following happened last? A) Jake systematically scanned all rooms with his phone to document the space B) Tasha multitasked on her phone and instructed refrigerating dessert before the meal, C) Katrina settled on a simple upbeat dance during pancake cooking, D) Alice filmed Shure’s drum game and tried the claw machine, E) Lucia coordinated cake layering and joined the group for outdoor dining,",A,"[""A"", ""B"", ""C"", ""D"", ""E""]",2,11:00:00.00,11:10:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,12,UNKNOWN,unknown,yes,query_user is provisional; candidate selected by text heuristics only
HISTV1_019,2,social_interaction,single_span,"When Katrina helped finalize the list on the whiteboard, who seemed most actively giving her suggestions?",Lucia and Tasha,"[""Shure and Jake"", ""Lucia and Tasha"", ""Jake and Alice"", ""Tasha and Shure"", ""Lucia and Alice""]",1,13:50:00.00,13:55:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,11,Katrina,inferred_weak,yes,query_user is provisional; candidate selected by text heuristics only
HISTV1_020,170,social_interaction,single_span,"Who helped each other find scissors, and what were the scissors used for?",Jake handed scissors to Katrina for her package and flower crafts.,"[""Jake lent scissors to Shure, who used them for prepping coffee beans."", ""Jake handed scissors to Katrina for her package and flower crafts."", ""Tasha and Lucia found scissors to cut plastic wrappings for food."", ""Alice shared scissors with Katrina for cutting papers."", ""Lucia requested scissors from Tasha for assembling wooden shelves.""]",4,12:20:00.00,12:25:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,11,UNKNOWN,unknown,yes,query_user is provisional; candidate selected by text heuristics only
HISTV1_021,373,social_interaction,multi_span,How did phone handling during food ordering differ across the situations?,"Alice first hesitated with the phone, later completed the order, while Jake refused to give his phone to Tasha.","[""Katrina immediately proceeded with the phone, later kept browsing without ordering, while Jake refused to give his phone to Tasha."", ""Katrina immediately proceeded with the phone, later kept browsing without ordering, while Lucia allowed the phone to be used for ordering."", ""Alice first hesitated with the phone, later completed the order, while Jake refused to give his phone to Tasha."", ""Katrina immediately proceeded with the phone, later completed the order, while Lucia allowed the phone to be used for ordering."", ""Alice first hesitated with the phone, later kept browsing without ordering, while Lucia allowed the phone to be used for ordering.""]",1,13:40:00.00,13:45:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,11,UNKNOWN,unknown,yes,query_user is provisional; candidate selected by text heuristics only
HISTV1_022,4,social_interaction,single_span,"Who seemed the most amused by the idea of cardboard greeters, and what was their reaction?",Alice humorously mentioned keeping all boxes just to make more dogs.,"[""Jake laughed and playfully suggested adding more decorations."", ""Shure sarcastically referred to it as a groundbreaking innovation."", ""Alice humorously mentioned keeping all boxes just to make more dogs."", ""Lucia giggled at her own idea and acted it out jokingly."", ""Tasha feigned shock at how creative Lucia was.""]",1,13:55:00.00,14:00:00.00,Jake;Alice;Tasha;Lucia;Shure,10,UNKNOWN,unknown,yes,query_user is provisional; candidate selected by text heuristics only
HISTV1_023,36,social_interaction,single_span,"Who's the one that jokingly said, 'so much pressure' when they were told to do a grand opening decoration?","Jake, amused but concerned about the task.","[""Lucia, trying to draw a flower."", ""Alice, commenting while arranging strawberries."", ""Jake, amused but concerned about the task."", ""Shure, gesturing at the whipped cream task."", ""Tasha, overwhelmed by the cream bag.""]",1,21:40:00.00,21:45:00.00,Jake;Alice;Lucia;Katrina;Shure,10,UNKNOWN,unknown,yes,query_user is provisional; candidate selected by text heuristics only
HISTV1_024,115,social_interaction,single_span,"When deciding on drinks, who suggested a 'big bottle' and why?","Jake, who said the big bottle could be finished.","[""Shure, who wanted to share the drink with the group."", ""Katrina, who thought the brand of the big bottle was better."", ""Alice, while saying it would be less wasteful than a smaller one."", ""Lucia, who reasoned it was more cost-efficient."", ""Jake, who said the big bottle could be finished.""]",3,16:50:00.00,16:55:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,10,UNKNOWN,unknown,yes,query_user is provisional; candidate selected by text heuristics only
HISTV1_025,903,theory_of_mind,theory_of_mind,What misunderstanding did Alice have about the beverages at first?,She thought the drinks included sodas but later realized it was only water.,"[""She assumed only one brand of soda water was provided."", ""She believed all the cups contained sweetened drinks."", ""She thought the drinks included sodas but later realized it was only water."", ""She didn’t know the activity was a water tasting game."", ""She mistakenly thought the coffee was one of the tasting items.""]",3,11:40:00.00,11:45:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,9,Alice,inferred_weak,yes,query_user is provisional; candidate selected by text heuristics only
HISTV1_026,915,theory_of_mind,theory_of_mind,Why was Katrina initially confused about what was happening with the ball during the game?,She assumed it would require manual intervention to release the ball.,"[""She was distracted by Shure's commentary about the game."", ""She assumed it would require manual intervention to release the ball."", ""She believed Violet was supposed to hand her the ball directly."", ""She didn't know which direction to aim the ball after throwing."", ""She thought the ball wouldn't appear automatically.""]",3,16:25:00.00,16:30:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,9,Katrina,inferred_weak,yes,query_user is provisional; candidate selected by text heuristics only
HISTV1_027,1013,theory_of_mind,theory_of_mind,Why did Jake try to direct someone to the 'first floor Huawei' during their shopping trip?,Because that was where the group had agreed to regroup.,"[""Because that was where the group had agreed to regroup."", ""Because he wanted to meet someone unrelated to the shopping group."", ""Because he misunderstood the location where they were meant to meet."", ""Because he mistakenly thought Huawei was part of the supermarket."", ""Because he wanted to buy a phone charger at Huawei.""]",5,15:55:00.00,16:00:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,9,Jake,inferred_weak,yes,query_user is provisional; candidate selected by text heuristics only
HISTV1_028,861,theory_of_mind,theory_of_mind,Why did Jake joke about putting all the puzzle pieces in randomly while everyone else took the task seriously?,Because Jake wanted to test how mismatched the pieces would look.,"[""Because Alice and Shure were debating whether the puzzle was solvable at all."", ""Because Katrina suggested the puzzle could fit regardless of placement."", ""Because Jake wanted to test how mismatched the pieces would look."", ""Because Jake noticed inconsistencies in the puzzle's design."", ""Because Jake realized they weren’t making progress and wanted to have fun.""]",1,12:30:00.00,12:35:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,8,Jake,inferred_weak,yes,query_user is provisional; candidate selected by text heuristics only
HISTV1_029,864,theory_of_mind,theory_of_mind,What made everyone laugh about the espresso conversation?,Lucia’s reaction to ordering a concentrated shot.,"[""Jake’s expression of shock about espresso size."", ""Tasha questioning the concept of espresso shots."", ""Katrina’s note about expensive coffee options."", ""Shure joking about drinking boiling coffee."", ""Lucia’s reaction to ordering a concentrated shot.""]",1,13:35:00.00,13:40:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,8,UNKNOWN,unknown,yes,query_user is provisional; candidate selected by text heuristics only
HISTV1_030,866,theory_of_mind,theory_of_mind,Why did Jake ask if preserving ice cubes could be eaten?,Because he was genuinely confused about their purpose.,"[""Because he misread the label on the package."", ""Because he thought they were flavored ice cubes."", ""Because he wanted to test Tasha's reaction."", ""Because it was a joke to entertain the group."", ""Because he was genuinely confused about their purpose.""]",1,18:15:00.00,18:20:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,8,Jake,inferred_weak,yes,query_user is provisional; candidate selected by text heuristics only
