visual_case_id,dataset_case_id,question_id,split,question,answer,category,current_only_caption,historical_caption,contact_sheet_path,extracted_frame_paths,extraction_status,qa_answer_visually_plausible,caption_matches_frames,current_only_enough,history_adds_value,keep_for_ppt,notes
VA_DEMO_001,DV01_DEMO_001,1078,demo,Why did Shure laugh when Katrina mentioned her voice messages?,Shure remembered he had similar embarrassing experiences.,theory_of_mind,"[current_only rank=1 source=Shure D7 11:41:30.00-11:42:00.00 30sec] I begin by organizing a wire in my hand, then I shake my head as I address Katrina, asking, ""What did you do last night?"". I continue to observe Katrina as he says, ""I don't know, oh my, what did I say last night?"". I am watching him and then laugh. I ask, ""Hahaha, did you send those voice messages?"", I laugh again happily as Katrina takes a few steps. I continue chatting with him and say, ""And now you don't dare to open them, right? Hahahahahaha, don't laugh"". I smile again, glancing at the object in my hand, and proceed to place my glasses and power bank on the sofa, still observing Katrina. I say, ""Don't laugh at me"", and then I respond to him as he turns around, saying, ""No, I also have a long string of voice messages,"" while gesturing with my right hand as I'm speaking. Finally, I adjust my glasses before the video concludes. [current_only rank=2 source=Shure D7 11:42:00.00-11:42:30.00 30sec] I am in what appears to be an apartment or a home, and I begin speaking, gesturing with my right hand, saying, ""Katrina: It's really too..."" I then turn around slightly, fiddling with a stand that I'm holding a bracket for. I tinker with the bracket in my hands. ""Katrina: Have you guys had breakfast?"" I ask, while still adjusting the bracket. Then I hear someone saying, ""Shure: Didn't we ask you to come for breakfa...","[history_only rank=1 source=Katrina D4 16:43:30.00-16:44:00.00 30sec] I'm sitting at a table in what appears to be a living room and kitchen area. Shure is standing and chatting with me, sharing about his freshman and sophomore years, specifically mentioning that he ""couldn't control my drinking."" He continues to discuss times when he was ""drinking with my roommates"" and would ""get too drunk."" I respond with ""Hmm"" as I listen. He elaborates that he would ""Just send a bunch of weird voice messages,"" continuing to explain his experiences. He walks around the living room as he speaks. Gesturing with his left hand, he says, ""The next day, I wouldn't want to meet again,"" but then adds that ""After these situations, I never deleted these people,"" then he laughs. I then say, ""You're pretty abstract."" While Shure is talking, I take bites of a snack from a package in front of me. I look up at him, and then back down at the snack. I also fiddle with the packaging of the snack. [history_only rank=2 source=Shure D5 18:41:00.00-18:41:30.00 30sec] I began by turning around, then adjusting my glasses. I then walked forward towards a wooden gate, during which I sang, ""Shure: Sakira, how should I describe you the best?"". Following this, I sang a few lines of a song. I then slightly moved the large wooden door. I turned around again and looked down at my phone, reading a summary. After reading...",contact_sheets/VA_DEMO_001.png,,frames_missing,,,,,,
VA_DEMO_002,DV01_DEMO_002,617,demo,What decision-making role did Jake take in the group task involving glasses?,Coordinator who managed roles and responsibilities.,task_coordination,"[current_only rank=4 source=Shure D5 12:58:30.00-12:59:00.00 30sec] I am sitting down, presumably waiting for my computer to run; I am using my laptop. I can hear Tasha exclaim, ""This must be fate,"" followed by Jake saying, ""Haha, shut it off, shut it off!"" Jake then walks over to my location. I then hear Tasha laughing. Subsequently, I adjust my glasses, then proceed to take them off. I then hand the glasses to Jake. [current_only rank=5 source=Jake D5 12:59:30.00-13:00:00.00 30sec] Alright, here's what happened: I began by expressing my confusion about what to do. I'm standing in a room, where a group is discussing something regarding ""Dali"" and potential costs. Katrina is touching her head, and Lucy and Alice are watching Tasha. I'm trying to get a sense of the situation, and I asked ""How much?"" and interjected with ""Dali is also..."". People around me are mentioning ""a villa,"" ""rental type,"" and that it's ""not very expensive,"" estimating ""double"" the cost, and referring to an ""entire rental BnB."" I then started walking towards Katrina while they were discussing if they should tell me the ""whole thing"" and then someone says ""About 2,000 a month."" Katrina puts on her glasses. Someone handed me a power bank. I started to say something about a day to get an estimate. Everyone's chatting around me while I try to get a grip on the Dali situation.","[history_only rank=1 source=Katrina D2 12:05:30.00-12:06:00.00 30sec] I initiate a turn, and then proceed to descend a set of stairs while holding a sheet of stickers. Throughout my descent, I overhear a conversation where Tasha describes someone as the ""core strategist of the team,"" elaborating on their commanding and operational management roles. Alice then inquires about the person's appearance, to which Tasha responds that ""this is their AD,"" further explaining that they are currently selecting for the AD role. Upon reaching the bottom of the stairs, I enter a room where others are gathered and push my glasses up the bridge of my nose. The discussion continues, with Tasha remarking on a resemblance between someone and Yang Jian, prompting laughter from both Tasha and Alice. I sit down at a table with stickers and a pen, and begin to write something on a piece of paper. I briefly look up at Jake who is in the room, then proceed to tear a sticker from the sheet. Katrina then instructs ""Write down the names."" Then, I stand up while tearing another sticker from the sheet. [history_only rank=2 source=Jake D3 15:23:30.00-15:24:00.00 30sec] The video starts as I ascend a set of stairs outdoors, accompanied by a group of people, when Lucia exclaims about the heat. As we reach the top of the stairs, we encounter a crossroads where Shure initiates a conversation about the universe...",contact_sheets/VA_DEMO_002.png,,frames_missing,,,,,,
VA_DEMO_003,DV01_DEMO_003,313,demo,"When Katrina discussed her breakup, how did the group mostly respond?",They offered different speculations about her ex’s intentions.,social_interaction,"[current_only rank=1 source=Tasha D6 21:09:30.00-21:10:00.00 30sec] The video begins with my point of view as I stand in a room with several friends. Katrina is speaking, questioning why someone always wants to take pictures of her and another friend, even though they often take couple photos, and wonders why he insists on taking pictures with them. I am mostly silent, observing the conversation and listening attentively to Katrina's remarks. Nicous makes a comment about a good student. Then, Shure suggests opening champagne, and Jake agrees. Nicous mentions the invitation of someone, leading to a discussion about relationships and friendships. I remain mostly observant. Katrina describes her close male friends, saying that she is close to them and if she calls them they will come. Shure and Katrina mention someone being in Beijing. Nicous offers an explanation. I look at Nicous. Then, Katrina questions why they can't invite good friends. Liu Ting asks, ""What do you mean, help you eat? Don't you want to eat it yourself?"". The discussion continues among my friends, and I continue to record from my perspective, capturing the ongoing interactions and dialogue. [current_only rank=4 source=Shure D6 21:14:00.00-21:14:30.00 30sec] I started off by exclaiming, ""Hahaha, come on, come on, ego life, hey,"" while gesturing with my right hand towards the group gathered. The camera then ca...","[history_only rank=1 source=Shure D2 22:32:00.00-22:32:30.00 30sec] The video begins with me sitting with a group of people as Katrina shares a story about her breakup and how her ex-boyfriend attempted to make up for it but got the wrong makeup product, specifically the wrong shade. Choiszt jokingly commented about getting the wrong shade, and Katrina clarified it was shade 82, adding that there are two series of shade 82, one a lipstick and the other a lip gloss. Nicous is surprised at the mistake, pointing out how different lipstick and lip gloss are. I glanced down at my phone while Katrina describes her ex-boyfriend as unreliable and inattentive. I then stood up, taking off my glasses, and adjusted my eyes. I am walking out of the room. I walked into the house. [history_only rank=2 source=Shure D2 22:20:00.00-22:20:30.00 30sec] In this egocentric video, I am engaged in a conversation with Katrina. Initially, I am holding a cigarette in my left hand while affirming, ""Shure: That's true."" I then pick up my drink and clink glasses with another person. After that, I respond ""Shure: In great condition."" Then, Katrina begins to speak, and I am listening to her. ""Katrina: When I had just broken up,"" I lift my head to take a sip of my drink. She continues, ""Katrina: Back then, you know,"" ""Katrina: My roommates didn't have offers."" I turn my head to look in a different direction...",contact_sheets/VA_DEMO_003.png,,frames_missing,,,,,,
VA_DEMO_004,DV01_DEMO_004,1040,demo,Who incorrectly assumed everyone would want an auction group of four items?,"Others, in a majority vote during the debate",theory_of_mind,"[current_only rank=1 source=Shure D6 16:49:00.00-16:49:30.00 30sec] The video opens with a wide view of the room where an auction is happening. Everyone seems to be in good spirits and smiling. I gesture with my right hand and say ""I have four."" Someone responds, ""Ah, he just wants to think about four, right?"" I then continue gesturing with my right hand and say, ""So, four at a time, twice."" I watch as the auction participants engage. Alice laughs, and someone says, ""Damn, no one's bidding anymore."" Tasha laughs loudly. I tap the table and say, ""Soul four times, three times,"" gesturing again with my right hand. Katrina seems very happy and exclaims, ""I'm dying of laughter, thanks, boss."" Then I fiddle with something in my hand, take a few steps, and instruct, ""Make sure to keep track of the accounts, okay?"" After that, I pick up other things from the table. Moving toward the electronic keyboard, I fiddle with more items and then announce, ""The rest, let's just do them all at once."" Someone reacts with ""I'm going bankrupt."" I observe everyone's reactions and then ask, ""Alright, or do you want to keep a few?"" Finally, everyone continues participating in the auction. Alice laughs, and Tasha also laughs. [current_only rank=2 source=Shure D6 16:46:30.00-16:47:00.00 30sec] the video begins as I'm in the middle of an event, specifically an auction. I say, ""One postcard and..."", imp...","[history_only rank=1 source=Tasha D1 12:05:30.00-12:06:00.00 30sec] I am participating in a meeting where the topic of discussion revolves around an auction. Katrina initiates the conversation by asking, ""Or who's auctioning?"" Shure responds, ""Both ours and theirs,"" clarifying that the auction involves items from both our group and another party. Katrina follows up with, ""The things they brought. Yes, and ours,"" emphasizing the inclusion of items brought by the external group and items from our own collection. Lucia adds, ""And our products,"" specifying that our own products will also be part of the auction. Katrina then estimates, ""It should take more than an hour then,"" suggesting a timeframe for the event. I observe what everyone is doing as Lucia provides an alternative estimate: ""More than an hour? Then maybe an hour and a half."" Everyone in the room seems to be looking at the whiteboard, presumably reviewing details related to the auction. Katrina reiterates, ""About an hour and a half."" Then Alice gets up and heads to the kitchen. Shure segments the auction tasks stating: ""We can segment it. This is their part. This is the guest part"" and starts writing something on the whiteboard to organize it. Alice returns and begins to clear up the items on the table in front of us. The conversation continues with Lucia pointing out some items saying, ""These, these."" Katrina respon...",contact_sheets/VA_DEMO_004.png,,frames_missing,,,,,,
VA_DEMO_005,DV01_DEMO_005,982,demo,Why didn't Katrina seem fully involved in the conversation about renting costumes during 18:23?,Katrina expressed doubts about everyone's participation being practical.,theory_of_mind,"[current_only rank=1 source=Lucia D4 18:23:30.00-18:24:00.00 30sec] the video begins with me meticulously trimming the bottom of a cardboard cutout using blue scissors. It appears I am attempting to perfect its shape. Suddenly, Alice places a cardboard dog cutout near the table where I am working. I then hear Katrina initiate a conversation, stating, ""Mainly because we haven't rented the costumes yet, right?"" Tasha responds, ""Hmm, good thing you haven't left yet."" I declare my intention to refine the dog's eyes. Katrina replies, ""It's alright, we made the decision because we couldn't rent."" Then I correctly place the circles on the dog's cardboard face. Tasha then interjects, ""Actually, renting is okay too,"" followed by ""We can still rent now."" At this point, I adjust my glasses, momentarily pausing my craftwork. I look up to observe Katrina and Tasha continuing their discussion nearby. I then hear Lucia saying, ""The main thing is, these days if everyone lines up..."" followed by, ""We don't know if everyone will be here."" Katrina adds, ""Yeah, not everyone might be,"" and tugs at her pajamas. Katrina continues, ""And secondly, the timing feels..."" to which Lucia responds, ""Yeah, the timing feels a bit tight."" The video concludes with me carefully pinching the dog's eyes with both hands. [current_only rank=2 source=Tasha D4 18:23:30.00-18:24:00.00 30sec] The video begins with me...","[history_only rank=3 source=Tasha D1 18:03:30.00-18:04:00.00 30sec] I am at the supermarket with my procurement team. Jake initiates a discussion about recording a 10-second video, with Shure confirming the duration. Katrina expresses doubt about someone's ability to hold the pose for the specified time, suggesting an earlier start. Jake then leans his phone against a shelf to prepare for the recording and proposes waiting a moment. The team poses for a group photo and after the recording, Tasha laughs. Lucia expresses her desire to review everyone's ""management results,"" which Tasha playfully clarifies as ""expression management results."" Finally, Jake invites us to take a look at the recorded video. [history_only rank=4 source=Tasha D4 12:51:30.00-12:52:00.00 30sec] The video begins with me standing near a table laden with flower arrangements, a laptop, and various items, listening to Alice explain the principle of absorbent materials. I then walk into Jake's room where he's seated, and he starts asking, ""Is this thing available for rent?"" I reply with ""Hmm,"" and then ask ""What?"" upon his repetition of the question. I respond with ""For rent? I don't know,"" expressing my confusion and doubt, and proceed to unlock and open my phone. I navigate through several apps, briefly showing Taobao, then Pinduoduo, before opening Xianyu. I then turn my head back towards the doorway, fac...",contact_sheets/VA_DEMO_005.png,,frames_missing,,,,,,
VA_DEMO_006,DV01_DEMO_006,1073,demo,Why did Jake smile and respond to Nicous by referring to a 'national guardian'?,He believed Nicous was talking about a donation program.,theory_of_mind,"[current_only rank=1 source=Jake D6 22:16:00.00-22:16:30.00 30sec] The video begins with Nicous addressing me as ""big brother,"" and I notice Shure and Nicous's girlfriends engaged in a conversation nearby. Nicous offers to light a cigarette for Shure, and I briefly glance at Shure before Nicous makes a comment referencing a Chinese aircraft carrier, eliciting laughter. Shure is engaged in a conversation with Nicous, and I observe Shure looking in my direction. I subsequently turn to my left, and I vocalize ""What's an aircraft carrier?"". I glanced at Nicous and then again at Shure. I chuckled. Shure responds with ""No idea."" I take two steps backward, and Nicous suggests that it's better to damage one's lungs than let the aircraft carrier rust. He then turns his attention directly to me, addressing my question. As Nicous speaks, another individual exits the house. Nicous continues, stating ""As long as I smoke one, the aircraft carrier is fine,"" clarifying his previous statement, to which I respond with a smile, ""Oh, you're donating money, right?"" Repeating my question, I take two steps forward and then utter, ""Oh, contributing to the country, I get it,"" acknowledging his analogy. Subsequently, I turn to the right and look toward Shure, before redirecting my gaze to the left to look at Nicous once more. At this point, I am holding a power bank and data cable in my hands. I say,...","[history_only rank=1 source=Jake D6 19:32:30.00-19:33:00.00 30sec] I am walking forward while listening to Lucia, who is commenting on a video, stating, ""The last one, the last one is me,"" and ""From that angle."" I turn around and take a step back, and Lucia continues, ""My face looks a bit chubby,"" followed by, ""But the earlier ones are all good."" I then glance to the right before looking at Nicous and Katrina. I smile while talking to Nicous. Jake says, ""Haven't even started and I'm asked to clear the field,"" and then, ""Don't forget those three songs, oh my gosh hahaha."" Lucia responds with, ""It's okay, it's okay, it's fine."" I turn back and forth and then to the right. Katrina says, ""Shure,"" and Jake repeats, ""Shure, your three songs."" I begin to walk forward, remarking, ""It's only natural to have occasional performance mistakes, right?"" I briefly glance to my left, where Jake is asking, ""Shure, your three songs?"" I look at Shure as he states, ""The three songs I picked."" I smile and talk to Shure, making eye contact as Katrina suggests, ""Let's sing together,"" while we're chatting. Jake says, ""Ah."" Katrina then walks over, and Shure responds, ""Okay."" A photographer starts taking pictures of Shure and his girlfriend, while Katrina says, ""The song ""New Boy""."" Finally, we look towards where the photographer is, who has finished taking pictures. [history_only rank=2 source=Jake...",contact_sheets/VA_DEMO_006.png,,frames_missing,,,,,,
VA_DEMO_007,DV01_DEMO_007,523,demo,What supported the collaborative mood around the cake task?,Team celebrations and applause at key milestones.,task_coordination,"[current_only rank=1 source=Lucia D3 22:06:00.00-22:06:30.00 30sec] the video shows Tasha sprinkling chocolate powder onto the cake with a slotted spoon. Jake comments, ""Adding the finishing touches"" and then, ""Impressive, impressive, okay."" I, Lucia, look at Tasha as Tasha asks Jake, ""What do you really want to say?"" I laugh and say, ""Haha, these two..."" and continue chatting with them. I then say, ""These two words have completely different meanings,"" followed by Jake saying ""Ha."" I advised, ""You better think it through."" I am in a happy mood, and I look at the cocoa powder. Katrina is using chopsticks to eat the meat on the plate. I continue to look at the cake while Katrina exclaims ""Wow."" [current_only rank=2 source=Jake D3 22:10:00.00-22:10:30.00 30sec] Oh crap, another strawberry has fallen off the cake, and it looks like another is about to! Alice asks what I see, and I reply that the strawberries are collapsing off the cake like skyscrapers. Lucia tells me to be careful as I try to support the cake, and I put a fallen strawberry aside. I exclaim ""Emergency repair!"" to which Jake laughs. I laugh as well, repeating ""Emergency repair!"" and Lucia joins in the laughter. I am smiling, very happy, and smiling with my head down. Lucia makes a noise of amusement, and Jake laughs again. ""Emergency PR!"" I say, as three strawberries have now fallen. Jake jokes that the building,...","[history_only rank=1 source=Lucia D1 21:48:00.00-21:48:30.00 30sec] I ate the cake entirely. I hear Alice asking, ""Can you open it from the outside?"" and then stating, ""Let me see if it can lock"" and later ""Hmm, it can't be locked, it's a bit broken."" I observe Jake saying, ""This probably won't work. I think we should give up."" Tasha picks up strawberries that are on the ground. I throw a paper cup into the trash can. I hear Katrina say, ""Look at the rainbow in my eyes."" Lucia then says, ""Haha, didn't you bake it?"" and corrects herself by saying, ""We all baked it together,"" following up with, ""The key thing is your guidance and experience."" Tasha uses a piece of paper to wipe the floor. I give a thumbs up as a gesture of gratitude and proceed to applaud. Lucia reacts with, ""Applause, haha,"" and Jake echoes, ""Applause."" Tasha then proposes, ""We can make an advanced version tomorrow. When you eat it, it will burst inside."" Finally, I adjust my glasses. [history_only rank=2 source=Katrina D1 12:29:00.00-12:29:30.00 30sec] The video begins with a collaborative effort in progress, as several individuals, including myself, are gathered around a table covered with a red and white checkered tablecloth. The group is working on some sort of activity. I can hear various comments exchanged: ""Tasha: Hmm,"" ""Katrina: Can't fit in,"" signaling some difficulty or challenge. The group continue...",contact_sheets/VA_DEMO_007.png,,frames_missing,,,,,,
VA_DEMO_008,DV01_DEMO_008,437,demo,How did Jake contribute to the group's tasks during the time Shure prepared coffee?,Carrying and rearranging tables alongside Nicous,task_coordination,"[current_only rank=2 source=Katrina D2 15:26:00.00-15:26:30.00 30sec] Okay, so the video begins with me dancing in what appears to be a living room, while Alice observes me. I continue dancing. Subsequently, I approach and push hands, presumably with Jake, seeking permission to make coffee, saying ""Shure: OK, so can I go make coffee now, Jake?"" Jake replies ""Jake: You can make coffee now"" and then confirms ""Jake: Go ahead."" I respond with ""Shure: Okay"" and Choiszt comments, ""Choiszt: They're starting to film now."" I acknowledge this with ""Shure: Ah"" and proceed to jump a little, stating ""Shure: Go make coffee."" I notice Nicous. Jake confirms again with ""Jake: Yes."" Choiszt remarks on the filming process, saying ""Choiszt: So now it's fishion"" and then thanks someone, saying ""Choiszt: Thanks to you guys."" Choiszt then expresses relief, saying ""Choiszt: Damn, I was so scared"" before I look toward Jake, Nicous and Choiszt. Choiszt makes comments about waiting and losing, saying ""Choiszt: Haha, I waited two days"" and ""Choiszt: Damn, completely lost."" I continue to dance and observe Alice tidying her hair. Choiszt expresses frustration ""Choiszt: Damn, before this, I could only open a pair of glasses"" I dance and then Alice stands up and Choiszt then expresses fear about the process, saying ""Choiszt: And now I'm really scared."" Alice picks up a power bank and Choiszt asks to be wai...","[history_only rank=1 source=Jake D2 13:55:00.00-13:55:30.00 30sec] The video begins with me glancing in the direction of Nicous while hearing comments about latte art and a coffee machine's supposed faults. I then turn to see Nicous adjusting my action camera. Shure asks if they can still do latte art at home, and I pause to consider the question as Nicous continues working. Other voices continue discussing the coffee machine and latte art. Turning towards Shure, I hear comments about the cost of coffee shop machines. I then walk towards the kitchen, open the curtains, and make an adjustment to them. As someone else pulls the curtains further, I glance at the action camera, briefly look up at the ceiling, and then proceed to walk towards the refrigerator. [history_only rank=2 source=Katrina D2 13:53:00.00-13:53:30.00 30sec] Okay, let me describe what I saw and did in the video. I hear Katrina speaking about a past interview and procedures as I walk towards Shure. I raise my hand during Katrina’s explanation, acknowledging what she's saying. Deciding to approach Shure, I walk back into the house. I hear Katrina stating ""He said TBD,"" then observe Nicous. Continuing to listen to Katrina, I gesture with my hand as she says, ""You know?"" and reflects on perceived secrecy. I raise my hand again while Katrina expresses her realization that Shure hadn't decided what to do next. I th...",contact_sheets/VA_DEMO_008.png,,frames_missing,,,,,,
VA_DEMO_009,DV01_DEMO_009,433,demo,Why did they decide on having transition shots in the choreography?,To ensure smooth flow between different members’ solos,task_coordination,"[current_only rank=1 source=Katrina D2 13:43:30.00-13:44:00.00 30sec] I initially overheard Jake mentioning ""trainees,"" and then I immediately averted my gaze to my phone, holding it horizontally. I then overhear Jake complimenting someone's hair and suggesting they do a solo dance. I glanced up briefly at Nicous before returning my attention to my phone screen, while Alice is also occupied with her own phone. After Katrina told everyone to start dancing, I momentarily looked up. I heard Tasha's exclamation of ""Oh, oh, oh,"" and saw Nicous getting up. I then noticed Lucia waving her hand and engaging in a discussion with Tasha about potentially inserting a solo section for someone, possibly incorporating transition shots where one person comes forward to dance after the others have spread out to the sides following a formation. During this conversation, both Tasha and Lucia gesticulated with their hands while explaining their vision for the dance arrangement. Throughout all of this, I continue to hold my phone in my hands, looking at it. [current_only rank=2 source=Jake D2 13:43:30.00-13:44:00.00 30sec] The egocentric video begins at 13:43:30 on DAY2. I am at a table with several colleagues. The table is covered with containers of food, drinks, and other items. The scene starts with me hearing Jake commenting, ""A trainee, a trainee,"" and then complimenting someone’s hair, sta...","[history_only rank=2 source=Katrina D1 17:30:00.00-17:30:30.00 30sec] Alright, in this video, I'm navigating a supermarket. I begin by walking straight down an aisle while thinking to myself, ""As for the grape juice, should I just ask him directly?"" Then I remembered what Shure said, ""Then, when I smell that Yakult flavor, my PTSD starts."" So, I decide to take out my phone to show a picture to the store staff. I open the photo app and zoom in on a specific image. I approach a store employee and inquire, ""Hi, can you tell me where the Yuanqi Forest grape juice is?"". The staff member, Lucia, responds with ""Of course"" and directs me to move forward. I then ask, ""Where are the drinks?"" as I proceed in the direction indicated. I glance to my right, and take up my phone again. [history_only rank=3 source=Jake D1 13:51:00.00-13:51:30.00 30sec] I start by wringing my hands dry after Lucia says, ""I feel it's fruity."" Jake asks, ""How should we wash this?"", prompting me to turn to the right. I pick up a tray as I begin speaking. Tasha responds, ""Just rinse it, because it will get rid of the grease."" After Jake says, ""Oh, okay."", I put the tray back down. Lucia then asks, ""We still have some orange juice, right?"" I turn on the faucet and begin washing the initial tray. While washing, Lucia suggests, ""Maybe we don't need to buy more orange juice."" Jake comments on the water flow, saying,...",contact_sheets/VA_DEMO_009.png,,frames_missing,,,,,,
